년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
"2018/09/20","1,392.08","10.53","0.76","1,385.36","1,398.94","1,384.17","168,440","6,922,840,460,725","1,485,493,409,639,205"
"2018/09/19","1,381.55","2.48","0.18","1,385.43","1,385.81","1,376.25","147,612","6,798,952,845,500","1,475,311,434,556,675"
"2018/09/18","1,379.07","4.05","0.29","1,365.53","1,380.83","1,365.33","124,987","5,525,201,808,904","1,474,149,907,964,150"
"2018/09/17","1,375.02","-9.48","-0.68","1,382.73","1,382.84","1,370.14","131,284","5,054,357,411,744","1,468,446,681,283,570"
"2018/09/14","1,384.50","21.46","1.57","1,375.23","1,385.08","1,374.41","169,352","6,390,704,108,213","1,478,060,113,310,400"
"2018/09/13","1,363.04","1.21","0.09","1,362.89","1,366.40","1,359.12","132,214","6,725,438,809,434","1,457,329,629,365,170"
"2018/09/12","1,361.83","1.05","0.08","1,362.46","1,364.92","1,354.87","156,266","6,380,674,431,774","1,454,687,914,413,900"
"2018/09/11","1,360.78","-4.59","-0.34","1,364.17","1,370.46","1,355.93","138,939","5,630,226,006,228","1,453,611,991,928,525"
"2018/09/10","1,365.37","3.42","0.25","1,359.67","1,366.87","1,359.14","115,714","4,943,740,486,336","1,457,115,892,511,605"
"2018/09/07","1,361.95","-6.03","-0.44","1,359.12","1,366.16","1,351.75","168,500","6,210,116,332,247","1,453,705,818,335,015"
"2018/09/06","1,367.98","-3.47","-0.25","1,368.61","1,375.27","1,365.87","151,836","5,361,493,532,069","1,457,916,299,639,425"
"2018/09/05","1,371.45","-17.95","-1.29","1,385.62","1,387.68","1,368.92","145,386","5,107,199,240,949","1,460,772,420,524,690"
"2018/09/04","1,389.40","7.87","0.57","1,383.01","1,391.25","1,379.27","102,028","4,372,502,107,179","1,478,193,954,959,915"
"2018/09/03","1,381.53","-11.73","-0.84","1,389.28","1,390.14","1,378.32","104,270","4,246,457,267,080","1,470,733,256,862,665"
"2018/08/31","1,393.26","11.06","0.80","1,375.11","1,393.26","1,373.35","148,029","5,999,386,203,026","1,481,554,006,835,510"
"2018/08/30","1,382.20","-0.07","-0.01","1,384.03","1,390.80","1,379.18","103,843","4,697,402,691,633","1,469,713,866,464,395"
"2018/08/29","1,382.27","4.20","0.30","1,378.77","1,382.56","1,375.89","108,283","4,466,002,494,356","1,473,747,614,547,715"
"2018/08/28","1,378.07","0.89","0.06","1,386.03","1,386.82","1,375.47","118,997","5,214,245,320,796","1,469,529,439,864,915"
"2018/08/27","1,377.18","6.67","0.49","1,373.85","1,379.48","1,369.94","117,083","5,072,852,553,010","1,468,323,741,252,640"
"2018/08/24","1,370.51","6.95","0.51","1,359.05","1,372.13","1,355.44","99,267","4,330,451,959,936","1,462,268,038,570,875"
"2018/08/23","1,363.56","6.42","0.47","1,362.74","1,363.65","1,353.91","104,760","4,517,369,785,427","1,454,738,002,683,670"
"2018/08/22","1,357.14","3.31","0.24","1,356.33","1,361.79","1,353.79","117,240","5,003,838,912,114","1,448,347,162,344,905"
"2018/08/21","1,353.83","17.51","1.31","1,336.59","1,356.11","1,334.10","118,077","5,082,107,396,126","1,446,984,854,044,290"
"2018/08/20","1,336.32","-0.83","-0.06","1,342.68","1,347.95","1,334.59","100,554","4,050,786,931,075","1,430,279,022,429,720"
"2018/08/17","1,337.15","3.20","0.24","1,336.14","1,340.24","1,333.01","104,412","4,356,149,474,293","1,431,121,186,545,605"
"2018/08/16","1,333.95","-11.96","-0.89","1,327.18","1,337.16","1,319.20","126,915","5,597,541,463,360","1,427,128,516,439,350"
"2018/08/14","1,345.91","6.28","0.47","1,340.72","1,348.32","1,338.88","104,611","4,525,867,524,093","1,439,163,081,897,085"
"2018/08/13","1,339.63","-20.52","-1.51","1,349.06","1,352.41","1,332.18","127,659","5,365,896,969,945","1,432,423,866,199,390"
"2018/08/10","1,360.15","-16.45","-1.19","1,370.30","1,370.91","1,356.98","122,755","5,845,709,664,288","1,455,362,177,173,515"
"2018/08/09","1,376.60","2.18","0.16","1,374.20","1,376.60","1,367.30","116,833","6,103,202,690,154","1,469,559,128,477,370"
"2018/08/08","1,374.42","-0.18","-0.01","1,378.42","1,381.01","1,372.35","102,972","4,869,371,659,732","1,466,705,844,361,860"
"2018/08/07","1,374.60","8.45","0.62","1,368.86","1,375.41","1,361.38","119,222","4,574,173,172,206","1,466,041,769,986,770"
"2018/08/06","1,366.15","-2.90","-0.21","1,369.71","1,376.71","1,364.18","131,992","4,518,269,920,384","1,456,149,623,332,800"
"2018/08/03","1,369.05","9.91","0.73","1,363.86","1,369.86","1,359.99","108,378","4,039,724,489,087","1,459,673,091,103,260"
"2018/08/02","1,359.14","-23.91","-1.73","1,380.66","1,381.50","1,355.58","107,575","4,599,412,760,261","1,448,228,425,756,980"
"2018/08/01","1,383.05","8.43","0.61","1,379.05","1,387.01","1,378.80","109,605","4,889,836,965,345","1,473,027,929,768,990"
"2018/07/31","1,374.62","2.08","0.15","1,370.93","1,375.83","1,367.02","107,110","4,620,361,459,066","1,463,945,059,214,765"
"2018/07/30","1,372.54","-3.13","-0.23","1,371.92","1,375.27","1,366.39","93,893","4,306,508,812,376","1,461,460,517,471,930"
"2018/07/27","1,375.67","3.94","0.29","1,373.07","1,375.89","1,368.90","102,143","4,840,075,019,536","1,463,884,725,534,395"
"2018/07/26","1,371.73","11.46","0.84","1,367.23","1,376.72","1,361.68","135,800","6,180,321,594,345","1,460,528,607,090,975"
"2018/07/25","1,360.27","-4.62","-0.34","1,367.47","1,372.43","1,357.65","135,994","6,361,222,461,443","1,449,790,317,287,915"
"2018/07/24","1,364.89","4.32","0.32","1,362.96","1,368.18","1,355.75","141,978","5,573,558,461,734","1,455,655,413,239,455"
"2018/07/23","1,360.57","-16.22","-1.18","1,376.21","1,376.21","1,357.54","132,474","5,592,604,427,921","1,450,106,247,553,520"
"2018/07/20","1,376.79","3.30","0.24","1,372.75","1,379.48","1,364.79","122,717","4,747,753,817,929","1,465,361,347,235,770"
"2018/07/19","1,373.49","-4.89","-0.35","1,384.04","1,385.06","1,371.30","153,334","5,615,149,114,018","1,460,699,439,244,095"
"2018/07/18","1,378.38","-2.79","-0.20","1,391.66","1,396.43","1,376.36","118,614","4,729,050,837,739","1,466,242,008,682,795"
"2018/07/17","1,381.17","-3.51","-0.25","1,385.29","1,387.19","1,377.21","135,164","4,477,976,615,045","1,465,872,558,092,980"
"2018/07/16","1,384.68","-6.21","-0.45","1,391.52","1,395.34","1,383.13","90,163","4,283,792,745,213","1,467,325,279,299,560"
"2018/07/13","1,390.89","19.26","1.40","1,377.78","1,392.13","1,377.73","116,816","5,527,769,996,635","1,472,107,481,846,090"
"2018/07/12","1,371.63","1.91","0.14","1,372.10","1,380.95","1,366.92","122,374","5,498,672,635,422","1,459,167,712,399,170"
"2018/07/11","1,369.72","-9.79","-0.71","1,368.42","1,374.66","1,358.89","126,780","4,908,924,027,809","1,455,131,888,805,460"
"2018/07/10","1,379.51","4.16","0.30","1,384.63","1,387.88","1,377.95","103,902","4,252,915,791,162","1,465,643,857,048,670"
"2018/07/09","1,375.35","9.15","0.67","1,369.16","1,381.69","1,363.51","102,005","4,807,705,117,477","1,461,904,980,075,645"
"2018/07/06","1,366.20","8.25","0.61","1,359.85","1,373.47","1,349.89","128,486","5,723,417,002,855","1,452,365,787,322,100"
"2018/07/05","1,357.95","-2.56","-0.19","1,359.78","1,366.37","1,348.22","90,638","4,275,196,852,299","1,442,122,395,207,605"
"2018/07/04","1,360.51","-4.70","-0.34","1,365.90","1,371.22","1,357.80","91,970","4,337,385,568,454","1,446,003,655,562,280"
"2018/07/03","1,365.21","2.74","0.20","1,372.16","1,373.29","1,352.60","127,013","5,499,623,868,350","1,451,085,321,641,785"
"2018/07/02","1,362.47","-32.53","-2.33","1,392.64","1,396.73","1,362.47","130,370","5,274,203,637,517","1,449,141,338,148,010"
"2018/06/29","1,395.00","8.04","0.58","1,392.99","1,397.74","1,377.15","117,598","5,404,132,747,858","1,483,650,945,618,195"
"2018/06/28","1,386.96","-19.55","-1.39","1,395.80","1,400.19","1,385.10","111,359","5,060,743,822,065","1,475,556,089,393,200"
"2018/06/27","1,406.51","-2.81","-0.20","1,409.36","1,416.50","1,406.26","127,512","6,055,549,135,378","1,497,807,595,025,445"
"2018/06/26","1,409.32","-2.84","-0.20","1,397.37","1,414.18","1,393.37","122,951","5,600,456,813,130","1,502,680,088,177,000"
"2018/06/25","1,412.16","-0.35","-0.02","1,409.13","1,414.96","1,399.31","105,682","5,079,649,364,603","1,505,933,152,994,905"
"2018/06/22","1,412.51","12.85","0.92","1,389.98","1,412.55","1,388.53","127,166","5,612,101,956,802","1,505,971,619,622,045"
"2018/06/21","1,399.66","-15.45","-1.09","1,415.34","1,419.07","1,399.66","136,986","5,885,494,654,895","1,491,063,908,589,840"
"2018/06/20","1,415.11","15.87","1.13","1,407.30","1,421.56","1,403.45","147,412","6,486,505,520,841","1,508,390,595,040,910"
"2018/06/19","1,399.24","-20.43","-1.44","1,417.90","1,422.08","1,397.29","156,644","7,109,810,610,761","1,490,579,782,070,410"
